Participant,Age,Religion,Motivation_subscale,Average_rating
29,28,Christian,Sen_seek,5.333333333
29,28,Christian,Community,3
29,28,Christian,Rel_growth,2.166666667
29,28,Christian,Spirit_growth,4.6
29,28,Christian,Seek_life,3.75
30,30,Christian,Nature_close,4.666666667
30,30,Christian,Sen_seek,4.166666667
30,30,Christian,Community,2.666666667
30,30,Christian,Rel_growth,2.333333333
30,30,Christian,Spirit_growth,4.2
30,30,Christian,Seek_life,5.25
31,42,Atheist,Nature_close,5.333333333
31,42,Atheist,Sen_seek,5
31,42,Atheist,Community,3.333333333
31,42,Atheist,Rel_growth,3.833333333
31,42,Atheist,Spirit_growth,4.8
31,42,Atheist,Seek_life,2.75
32,30,Atheist,Nature_close,3.666666667
32,30,Atheist,Sen_seek,4.333333333
32,30,Atheist,Community,1.666666667
32,30,Atheist,Rel_growth,1.166666667
32,30,Atheist,Spirit_growth,3.2
32,30,Atheist,Seek_life,3.25
33,48,Atheist,Nature_close,4
33,48,Atheist,Sen_seek,4
33,48,Atheist,Community,2.333333333
33,48,Atheist,Rel_growth,1
33,48,Atheist,Spirit_growth,3.2
33,48,Atheist,Seek_life,1.75
34,45,Christian,Nature_close,2.333333333
34,45,Christian,Sen_seek,5.666666667
34,45,Christian,Community,2.666666667
34,45,Christian,Rel_growth,1.666666667
34,45,Christian,Spirit_growth,2.6
34,45,Christian,Seek_life,1.5
35,66,Christian,Nature_close,3.666666667
35,66,Christian,Sen_seek,2.166666667
35,66,Christian,Community,2.666666667
35,66,Christian,Rel_growth,3
35,66,Christian,Spirit_growth,3
35,66,Christian,Seek_life,2.25
36,30,Atheist,Nature_close,4.333333333
36,30,Atheist,Sen_seek,3.666666667
36,30,Atheist,Community,3.333333333
36,30,Atheist,Rel_growth,2.166666667
36,30,Atheist,Spirit_growth,3.6
36,30,Atheist,Seek_life,3
37,25,Atheist,Nature_close,4.333333333
37,25,Atheist,Sen_seek,5.166666667
37,25,Atheist,Community,4
37,25,Atheist,Rel_growth,3.166666667
37,25,Atheist,Spirit_growth,4
37,25,Atheist,Seek_life,2.75
38,59,Christian,Nature_close,6
38,59,Christian,Sen_seek,2
38,59,Christian,Community,4.333333333
38,59,Christian,Rel_growth,6
38,59,Christian,Spirit_growth,4
38,59,Christian,Seek_life,1.75
39,21,Christian,Nature_close,4.666666667
39,21,Christian,Sen_seek,5.833333333
39,21,Christian,Community,1.666666667
39,21,Christian,Rel_growth,2.166666667
39,21,Christian,Spirit_growth,2.8
39,21,Christian,Seek_life,4
40,20,Atheist,Nature_close,1.333333333
40,20,Atheist,Sen_seek,2.666666667
40,20,Atheist,Community,1
40,20,Atheist,Rel_growth,1
40,20,Atheist,Spirit_growth,1.8
40,20,Atheist,Seek_life,2.25
42,24,Christian,Nature_close,4.666666667
42,24,Christian,Sen_seek,5
42,24,Christian,Community,3.333333333
42,24,Christian,Rel_growth,2.333333333
42,24,Christian,Spirit_growth,2.8
42,24,Christian,Seek_life,3
43,49,Christian,Nature_close,2.333333333
43,49,Christian,Sen_seek,2.833333333
43,49,Christian,Community,1
43,49,Christian,Rel_growth,5.166666667
43,49,Christian,Spirit_growth,2.4
43,49,Christian,Seek_life,1
44,33,Christian,Nature_close,5
44,33,Christian,Sen_seek,5
44,33,Christian,Community,1.666666667
44,33,Christian,Rel_growth,5.5
44,33,Christian,Spirit_growth,5.2
44,33,Christian,Seek_life,4.75
45,37,Christian,Nature_close,3.666666667
45,37,Christian,Sen_seek,3.666666667
45,37,Christian,Community,2
45,37,Christian,Rel_growth,2.333333333
45,37,Christian,Spirit_growth,3.6
45,37,Christian,Seek_life,3
46,26,Christian,Nature_close,4.333333333
46,26,Christian,Sen_seek,4.166666667
46,26,Christian,Community,2
46,26,Christian,Rel_growth,2.166666667
46,26,Christian,Spirit_growth,3.6
46,26,Christian,Seek_life,1.5
47,35,Christian,Nature_close,4
47,35,Christian,Sen_seek,3.333333333
47,35,Christian,Community,3.333333333
47,35,Christian,Rel_growth,1.333333333
47,35,Christian,Spirit_growth,3.8
47,35,Christian,Seek_life,3.25
48,50,Christian,Nature_close,3.666666667
48,50,Christian,Sen_seek,4.5
48,50,Christian,Community,4
48,50,Christian,Rel_growth,2.833333333
48,50,Christian,Spirit_growth,4.4188
48,50,Christian,Seek_life,1.75
49,46,Atheist,Nature_close,4.333333333
49,46,Atheist,Sen_seek,4.5
49,46,Atheist,Community,2.666666667
49,46,Atheist,Rel_growth,1.833333333
49,46,Atheist,Spirit_growth,5.6
49,46,Atheist,Seek_life,3.5
50,20,Christian,Nature_close,4
50,20,Christian,Sen_seek,5.5
50,20,Christian,Community,1.666666667
50,20,Christian,Rel_growth,1
50,20,Christian,Spirit_growth,3.4
50,20,Christian,Seek_life,1.75
51,49,Christian,Nature_close,4
51,49,Christian,Sen_seek,1.333333333
51,49,Christian,Community,2.666666667
51,49,Christian,Rel_growth,4.833333333
51,49,Christian,Spirit_growth,4.2
51,49,Christian,Seek_life,3.25
52,63,Christian,Nature_close,5.666666667
52,63,Christian,Sen_seek,4
52,63,Christian,Community,2.253
52,63,Christian,Rel_growth,1.333333333
52,63,Christian,Spirit_growth,3.8
52,63,Christian,Seek_life,1.75
