Participant,Age,Religion,Nature_close,Sen_seek,Community,Rel_growth,Spirit_growth,Seek_life
92,21,Atheist,4,5.5,1,1,2.4,4.25
93,45,Atheist,4.333333333,6,2,1.833333333,5.2,3.5
94,36,Christian,4,2,1.666666667,4.833333333,4.6,5.75
95,21,Christian,3.666666667,5.666666667,2.333333333,1.333333333,3,3
96,20,Christian,5,4.333333333,1,3.666666667,3.2,3
97,70,Christian,2.333333333,4.333333333,1,4.5,3.2,1
98,36,Christian,5,6,1.333333333,1.5,4,2.25
99,59,Christian,5,3.333333333,4,5.666666667,5.5494,4.5
100,40,Christian,6,5.333333333,3.333333333,5.5,4.8,4.13975
102,28,Christian,6,2.833333333,1.666666667,4.166666667,5,4
103,26,Christian,5.333333333,5.333333333,1,3,3.6,2.5
104,53,Atheist,5,4.333333333,4.28,1.666666667,3.2,2.75
105,20,Christian,4.666666667,4,4.666666667,4.666666667,5,2.5
106,30,Christian,4.333333333,3.333333333,2.586333333,2.666666667,3.6,2.25
107,27,Christian,5.666666667,5,2,3.833333333,5.8,4.75
108,28,Christian,5,4.5,2.666666667,2.833333333,3,1.75
109,47,Christian,3,3,4.666666667,1.666666667,3.1494,1
110,65,Christian,4.333333333,4.666666667,2,2.166666667,4.8,3.512975
111,43,Christian,1.666666667,3.666666667,4.333333333,2.666666667,2,3
112,51,Christian,3.666666667,3.166666667,4,5.166666667,4.4,2.25
113,47,Christian,6,4,4.666666667,4.833333333,3.4,2.5
114,45,Christian,4.333333333,4.666666667,2.666666667,4.166666667,5.6,5.5
115,37,Christian,5.666666667,5.666666667,4.666666667,3.333333333,3.6,1.5
116,32,Christian,3.666666667,3.5,4.333333333,1.333333333,2.4,1.25
117,28,Christian,4.333333333,4.666666667,2.333333333,4.333333333,5.4,4.75
119,40,Atheist,6,3.166666667,2.666666667,1.666666667,5.4,2.25
120,49,Christian,5,4.833333333,2,2.833333333,3.6,1
121,34,Christian,1,4.833333333,2,3.833333333,2.4,1.25
123,37,Christian,6,4.833333333,6,5,5.7494,4.5
124,28,Christian,6,6,6,6,5.7494,5.5
125,46,Christian,6,5.5,5.666666667,4,5.2,5
126,58,Christian,5,5.5,6,5,5.4,3
127,21,Christian,4.333333333,4.666666667,2,3,3,2.75
128,49,Christian,3.333333333,2,1,1,1.4,1
129,27,Atheist,4,4.666666667,1.444333333,1.5,3.8,2.25
130,65,Christian,4.333333333,4,5,4,4.4,4
132,74,Christian,4.333333333,2.666666667,1.666666667,1,2.6,1.25
134,69,Christian,4.333333333,4.114666667,4.333333333,1.833333333,1.8,1.25
135,71,Christian,3,2.833333333,2,4.166666667,5,3.5
136,25,Christian,5.333333333,5.833333333,3.333333333,2.5,4,3.5
137,30,Christian,6,5.666666667,2.666666667,5.666666667,6,5.5
138,26,Christian,6,3.5,2,6,5.0188,6
139,31,Christian,5.666666667,3.833333333,3.333333333,3.833333333,4.5494,3.75
140,46,Christian,4.333333333,3.166666667,1,4.166666667,4.3494,4.5
141,35,Christian,5.666666667,1.5,2,6,5.8,4.75
142,49,Christian,4.666666667,3.252,3,3.666666667,5,1.75
143,37,Christian,2.666666667,4.5,3.666666667,3,3.6,3.25
144,39,Christian,3.666666667,4.333333333,1,2.333333333,4.6,4.5
145,37,Atheist,6,4.5,5,1.5,2,1.25
146,51,Christian,5,2.333333333,2.333333333,5.5,5.2,2
147,27,Atheist,6,5,3,4.666666667,5.6,2.75
149,66,Christian,5,4.5,4.333333333,4.333333333,4.1494,2.25
150,44,Christian,4.333333333,3.833333333,5.666666667,3.333333333,3.7494,1.5
151,59,Christian,3,3.166666667,2,3.333333333,3.4,3.25
152,60,Christian,5,4.333333333,2.666666667,4.166666667,4.9494,4.25
153,20,Christian,6,4,1.666666667,4.166666667,5.7494,3.5
154,43,Christian,4,3.333333333,2.333333333,4.833333333,3.1494,1.5
155,28,Christian,4,3.833333333,3.566333333,4.833333333,5.4,3
156,30,Christian,4.666666667,2.5,1.333333333,5.833333333,4.7494,5.5
157,23,Christian,4.666666667,3.5,4.333333333,3,3.6,5.25
159,58,Atheist,5.666666667,2.833333333,1,1.666666667,3.4,5.25
160,50,Atheist,4.333333333,4.166666667,1,1,2.8,2
161,53,Christian,3.333333333,2.666666667,2.666666667,2.666666667,3.9494,2.5
162,18,Atheist,4.666666667,5.833333333,5,2.166666667,3,4.25
163,20,Atheist,5.333333333,4.333333333,1,2.166666667,3.4,1.5
164,26,Christian,4.666666667,4.166666667,2.333333333,2.752333333,4.8,3
165,28,Atheist,5.333333333,3.666666667,1.666666667,3.5,5.2,3
166,37,Christian,4.666666667,4.833333333,1.333333333,1,2,2
167,23,Christian,3.666666667,5.682833333,1,2.5,1.4,1.75
168,23,Atheist,5.666666667,4.166666667,1,3.166666667,4.2,2.75
169,52,Atheist,5.333333333,2.666666667,2.666666667,4,4.4,3.25
170,26,Christian,4,3.333333333,1.333333333,3.166666667,3.8,3.25
171,42,Atheist,3.666666667,4,1.666666667,1.166666667,3.6,1.25
172,28,Christian,6,5,5.666666667,5.833333333,6,6
173,46,Christian,4.333333333,5.666666667,5,1.833333333,1.8,1.5
174,28,Christian,6,4.333333333,3.666666667,3.166666667,5.8,3.75
175,18,Atheist,4,4.333333333,1.333333333,3.166666667,5.8,4.0535
176,60,Christian,3,2.5,1,1.666666667,4.7494,1
177,34,Christian,5.666666667,4.333333333,3,2.166666667,4.2,1.75
178,46,Christian,4.333333333,5.333333333,2.333333333,2.166666667,3.6,2
179,69,Christian,4,3.666666667,3.666666667,3,3.3494,2.75
180,49,Christian,4.333333333,3.833333333,1,2,3.2,3.25
181,55,Christian,4,3.5,3,2.333333333,2.2,1.5
182,65,Christian,3.666666667,3,4,4.166666667,3.7494,2.5
183,58,Christian,4.666666667,5.333333333,5,5.833333333,5.3494,5.75
185,38,Christian,4.333333333,3.666666667,1.333333333,5.333333333,3.747,2.5
186,30,Atheist,5.333333333,5,1,3.166666667,5,4
187,57,Christian,3,3.333333333,1.333333333,1,2.6,2
188,41,Atheist,6,6,2,1,4.6,3.25
189,22,Atheist,4.666666667,3.666666667,1.666666667,1.333333333,4,3.5
190,28,Christian,1.666666667,1.833333333,1.666666667,3.666666667,4.5494,5.25
191,38,Christian,5.333333333,3.5,1.333333333,2,4.4,3.5
192,33,Christian,5.666666667,4,5.666666667,5.833333333,6,5.25
193,45,Atheist,5,3.333333333,3.333333333,2.5,4.6,2.5
194,55,Christian,5.333333333,4.5,2.333333333,1,3.6,1.25
195,40,Christian,3.666666667,4.333333333,4.333333333,4.833333333,5.2,3.75
196,52,Christian,4,2.166666667,1.666666667,4.333333333,5.2,4
197,48,Christian,4,4.166666667,3,4.333333333,4.2,2.25
198,56,Atheist,4.666666667,3.5,1.666666667,1.166666667,4,1.5
199,31,Atheist,4.333333333,3.666666667,2.666666667,1,5,2.25
200,52,Christian,3.333333333,1,2.333333333,5.5,5.6,2.5
201,40,Christian,4.333333333,3.5,3.333333333,3.666666667,5,2.75
202,45,Christian,2.666666667,3.5,2.666666667,2.666666667,3,1.25
203,40,Christian,4.333333333,2.333333333,1,5,3.7494,2.25
204,26,Atheist,6,5,1.666666667,1,1.6,1
206,47,Christian,4,2.666666667,1.666666667,4.666666667,5.2,5.5
209,24,Atheist,5.666666667,4.333333333,2.333333333,3.666666667,5.6,3.5
210,34,Christian,6,1.666666667,2.899666667,4.5,5.4,3.75
212,64,Christian,4.333333333,1.833333333,4,5,4.347,2
213,31,Christian,4.666666667,3.166666667,2.666666667,6,6,5
214,28,Christian,2.666666667,3.166666667,3.333333333,6,6,4
215,32,Christian,6,4.833333333,3.666666667,5.666666667,4.8,4
216,46,Christian,3.333333333,3.833333333,1.666666667,4.149333333,5.4,4.75
217,45,Christian,5.666666667,3.833333333,2,4,4.4,4.75
218,32,Christian,5,2.666666667,2.333333333,5.666666667,5.4,3.25
219,44,Christian,3.666666667,1.833333333,1.333333333,3.166666667,4.4,1.25
220,57,Atheist,4,3.333333333,1.333333333,1.166666667,3,2.5
221,43,Christian,4.333333333,2.166666667,2,4,4.8,4.75
222,37,Christian,6,4,4.666666667,5.666666667,4.6,5
223,50,Christian,2.333333333,1.166666667,3.666666667,4,4.4,2.5
224,29,Christian,4.333333333,4.333333333,3.333333333,3,5.6,5.5
225,49,Christian,5,5.666666667,4.666666667,1.166666667,3,2
226,49,Christian,4.333333333,5.166666667,6,2,5.6,5.5
228,22,Christian,2.666666667,4.666666667,1.666666667,3.166666667,3.6,5
229,20,Christian,4.666666667,3.833333333,2,3.833333333,5.2,2
230,45,Christian,4.666666667,4.5,1.666666667,3.833333333,4.2,1.5
231,43,Christian,3.666666667,4,2.666666667,1,1.4,1
232,48,Christian,6,3.333333333,4.333333333,5.166666667,5,2
233,43,Christian,4,3,2,5.166666667,3.2,2.5
234,26,Atheist,4,3.333333333,1.666666667,3.333333333,5.6,5.5
