ACCIDENT_INDEX,ACCIDENT_SEVERITY,SPEED_LIMIT,DAY_OF_WEEK
201497AC01611,Slight,50,Saturday
201497AC01701,Slight,30,Friday
201497AC01710,Slight,50,Thursday
201497AC01903,Slight,30,Saturday
201497AC01910,Slight,30,Thursday
201497AC02302,Slight,30,Thursday
201497AC02311,Slight,30,Wednesday
201497AC02402,Slight,30,Monday
201497AC02601,Slight,30,Thursday
201497AC02611,Slight,30,Sunday
201497AC70102,Slight,50,Saturday
201497AC70103,Slight,50,Friday
201497AC70106,Slight,30,Sunday
201497AC70108,Slight,50,Sunday
201497AC70109,Serious,50,Saturday
201497AC70111,Slight,30,Saturday
201497AC70203,Slight,50,Friday
201497AC70205,Slight,50,Monday
201497AC70206,Serious,30,Sunday
201497AC70208,Serious,50,Thursday
201497AC70209,Slight,50,Saturday
201497AC70211,Slight,50,Sunday
201497AC70301,Slight,50,Tuesday
201497AC70302,Slight,50,Thursday
201497AC70303,Slight,50,Monday
201497AC70307,Slight,30,Tuesday
201497AC70308,Slight,50,Thursday
201497AC70309,Slight,50,Friday
201497AC70310,Slight,50,Thursday
201497AC70311,Serious,30,Monday
201497AC70312,Slight,50,Friday
201497AC70401,Slight,50,Sunday
201497AC70403,Slight,30,Saturday
201497AC70404,Slight,50,Sunday
201497AC70405,Slight,50,Monday
201497AC70409,Slight,50,Sunday
201497AC70411,Slight,50,Friday
201497AC70412,Slight,50,Sunday
201497AC70508,Slight,50,Monday
201497AC70509,Slight,50,Tuesday
201497AC70511,Slight,50,Tuesday
201497AC70603,Slight,50,Friday
201497AC70605,Slight,50,Friday
201497AC70606,Slight,50,Thursday
201497AC70705,Slight,30,Friday
201497AC70710,Slight,50,Saturday
201497AC70802,Slight,50,Friday
201497AC70810,Slight,50,Monday
201497AD00105,Slight,30,Friday
201497AD00111,Serious,30,Saturday
201497AD00202,Slight,30,Tuesday
201497AD00203,Slight,30,Sunday
201497AD00205,Slight,30,Friday
201497AD00207,Slight,30,Thursday
201497AD00211,Slight,40,Sunday
201497AD00307,Slight,30,Friday
201497AD00401,Slight,30,Tuesday
201497AD00402,Slight,30,Sunday
201497AD00506,Slight,30,Tuesday
201497AD00508,Slight,30,Tuesday
201497AD00509,Slight,30,Wednesday
201497AD00601,Serious,30,Monday
201497AD00603,Slight,30,Wednesday
201497AD00605,Slight,30,Monday
201497AD00609,Slight,30,Thursday
201497AD00612,Slight,30,Wednesday
201497AD00701,Slight,30,Monday
201497AD00702,Serious,30,Sunday
201497AD00703,Slight,30,Thursday
201497AD00710,Slight,40,Friday
201497AD00801,Serious,30,Tuesday
201497AD00806,Slight,30,Saturday
201497AD00809,Slight,30,Monday
201497AD00810,Slight,30,Friday
201497AD00903,Slight,30,Friday
201497AD00907,Slight,30,Tuesday
201497AD01003,Serious,50,Saturday
201497AD01104,Slight,70,Thursday
201497AD01105,Slight,30,Wednesday
201497AD01107,Slight,30,Friday
201497AD01110,Slight,30,Saturday
201497AD01201,Slight,30,Friday
201497AD01203,Slight,30,Friday
201497AD01206,Slight,30,Tuesday
201497AD01208,Slight,30,Saturday
201497AD01212,Slight,30,Monday
201497AD01309,Slight,30,Tuesday
201497AD01405,Slight,30,Friday
201497AD01411,Slight,30,Monday
201497AD01503,Slight,30,Tuesday
201497AD01507,Slight,30,Thursday
201497AD01510,Fatal,30,Tuesday
201497AD01604,Slight,30,Tuesday
201497AD01612,Slight,30,Thursday
201497AD01703,Slight,30,Wednesday
201497AD01704,Slight,30,Wednesday
201497AD01705,Slight,30,Thursday
201497AD01711,Slight,30,Monday
201497AD01801,Serious,30,Friday
201497AD01910,Slight,30,Thursday
201497AD01912,Serious,30,Wednesday
201497AD02009,Slight,30,Monday
201497AD02010,Slight,40,Saturday
201497AD02011,Slight,30,Sunday
201497AD02102,Slight,30,Thursday
201497AD02103,Slight,30,Friday
201497AD02107,Slight,30,Wednesday
201497AD02210,Slight,30,Sunday
201497AD02301,Slight,30,Tuesday
201497AD02304,Slight,30,Thursday
201497AD02309,Slight,30,Sunday
201497AD02311,Slight,30,Wednesday
201497AD02312,Slight,30,Thursday
201497AD02402,Slight,30,Saturday
201497AD02405,Slight,30,Saturday
201497AD02408,Serious,30,Tuesday
201497AD02409,Slight,30,Monday
201497AD02410,Slight,30,Tuesday
201497AD02411,Serious,30,Wednesday
201497AD02501,Slight,30,Thursday
201497AD02512,Slight,30,Monday
201497AD02602,Slight,30,Saturday
201497AD02605,Slight,30,Saturday
201497AD02606,Slight,30,Tuesday
201497AD02608,Slight,30,Thursday
201497AD02702,Serious,30,Sunday
201497AD02709,Slight,50,Tuesday
201497AD02806,Slight,30,Thursday
201497AD02812,Serious,30,Friday
201497AD02903,Slight,30,Thursday
201497AD02907,Slight,30,Monday
201497AD02908,Serious,30,Friday
201497AD02910,Serious,30,Thursday
201497AD02912,Slight,30,Friday
201497AD03002,Slight,30,Tuesday
201497AD03005,Slight,30,Wednesday
201497AD03010,Slight,30,Friday
201497AD03103,Slight,30,Friday
201497AD03109,Slight,30,Tuesday
201497AD03112,Slight,30,Sunday
201497AD03204,Slight,30,Friday
201497AD03210,Slight,30,Saturday
201497AD03307,Slight,30,Wednesday
