ACCIDENT_INDEX,ACCIDENT_SEVERITY,SPEED_LIMIT,DAY_OF_WEEK
201597AE01710,Slight,30,Saturday
201597AE01711,Slight,30,Sunday
201597AE01812,Serious,30,Monday
201597AE01902,Serious,30,Saturday
201597AE01904,Slight,30,Friday
201597AE01907,Fatal,30,Monday
201597AE01910,Slight,30,Saturday
201597AE02001,Slight,30,Tuesday
201597AE02003,Serious,30,Tuesday
201597AE02008,Slight,30,Monday
201597AE02009,Slight,30,Saturday
201597AE02110,Slight,30,Monday
201597AE02201,Slight,30,Friday
201597AE02207,Slight,30,Thursday
201597AE02211,Slight,30,Saturday
201597AE02404,Serious,30,Wednesday
201597AE02407,Slight,30,Friday
201597AE02501,Slight,30,Saturday
201597AE02508,Slight,30,Wednesday
201597AE02611,Slight,30,Monday
201597AE02710,Slight,30,Saturday
201597AE02711,Slight,30,Sunday
201597AE02812,Slight,30,Sunday
201597AE03008,Slight,30,Wednesday
201597AE03201,Slight,30,Tuesday
201597AE70103,Slight,30,Saturday
201597AE70105,Fatal,30,Saturday
201597AE70107,Slight,30,Tuesday
201597AE70109,Serious,30,Thursday
201597AE70110,Slight,30,Saturday
201597AE70203,Serious,30,Tuesday
201597AE70205,Slight,30,Saturday
201597AE70208,Slight,30,Wednesday
201597AE70210,Slight,30,Thursday
201597AE70409,Fatal,30,Saturday
201597BA00101,Slight,30,Thursday
201597BA00104,Serious,30,Wednesday
201597BA00105,Slight,30,Saturday
201597BA00106,Slight,30,Monday
201597BA00112,Slight,50,Tuesday
201597BA00203,Serious,30,Sunday
201597BA00207,Slight,30,Wednesday
201597BA00209,Slight,30,Thursday
201597BA00211,Slight,30,Wednesday
201597BA00301,Slight,30,Saturday
201597BA00304,Slight,30,Saturday
201597BA00307,Slight,30,Friday
201597BA00401,Slight,30,Friday
201597BA00402,Slight,30,Wednesday
201597BA00407,Slight,30,Saturday
201597BA00409,Slight,30,Sunday
201597BA00506,Slight,30,Thursday
201597BA00508,Slight,30,Friday
201597BA00509,Slight,30,Thursday
201597BA00512,Slight,30,Thursday
201597BA00606,Slight,30,Friday
201597BA00612,Slight,30,Saturday
201597BA00702,Slight,30,Thursday
201597BA00705,Slight,30,Monday
201597BA00711,Slight,30,Friday
201597BA00801,Slight,30,Wednesday
201597BA00812,Serious,30,Sunday
201597BA00904,Serious,30,Sunday
201597BA00905,Slight,30,Wednesday
201597BA00909,Serious,30,Monday
201597BA01005,Slight,30,Friday
201597BA01006,Slight,30,Sunday
201597BA01010,Slight,30,Thursday
201597BA01012,Slight,40,Monday
201597BA01104,Slight,30,Saturday
201597BA01105,Serious,30,Thursday
201597BA01108,Slight,30,Friday
201597BA01111,Slight,30,Monday
201597BA01204,Slight,30,Monday
201597BA01207,Slight,30,Friday
201597BA01212,Slight,30,Saturday
201597BA01301,Slight,70,Saturday
201597BA01403,Slight,30,Tuesday
201597BA01406,Slight,30,Monday
201597BA01502,Slight,30,Sunday
201597BA01507,Slight,30,Sunday
201597BA01508,Slight,30,Saturday
201597BA01510,Slight,30,Saturday
201597BA01511,Serious,30,Thursday
201597BA01602,Slight,30,Tuesday
201597BA01606,Slight,30,Sunday
201597BA01607,Slight,30,Monday
201597BA01608,Slight,30,Sunday
201597BA01609,Slight,30,Friday
201597BA01709,Slight,30,Thursday
201597BA01711,Slight,30,Thursday
201597BA01712,Slight,30,Friday
201597BA01802,Slight,30,Friday
201597BA01806,Slight,30,Thursday
201597BA01808,Slight,30,Sunday
201597BA01809,Slight,30,Saturday
201597BA01811,Slight,30,Friday
201597BA01909,Slight,30,Sunday
201597BA01912,Slight,30,Friday
201597BA02001,Fatal,30,Tuesday
201597BA02006,Slight,30,Friday
201597BA02105,Slight,30,Friday
201597BA02110,Slight,30,Wednesday
201597BA02112,Slight,30,Tuesday
201597BA02201,Slight,30,Thursday
201597BA02301,Slight,30,Thursday
201597BA02302,Slight,30,Tuesday
201597BA02311,Slight,30,Wednesday
201597BA02408,Slight,30,Thursday
201597BA02410,Slight,30,Wednesday
201597BA02501,Slight,30,Friday
201597BA02503,Slight,30,Saturday
201597BA02510,Serious,30,Thursday
201597BA02511,Slight,30,Sunday
201597BA02603,Slight,30,Tuesday
201597BA02607,Slight,30,Monday
201597BA02611,Slight,30,Saturday
201597BA02710,Slight,30,Friday
201597BA02802,Slight,30,Saturday
201597BA02810,Slight,30,Tuesday
201597BA02811,Serious,30,Wednesday
201597BA02812,Slight,30,Monday
201597BA02907,Slight,30,Sunday
201597BA03003,Slight,30,Wednesday
201597BA03007,Serious,30,Sunday
201597BA03012,Slight,30,Monday
201597BA03105,Slight,30,Wednesday
201597BA03110,Slight,30,Wednesday
201597BA03207,Serious,30,Wednesday
201597BA03310,Slight,30,Saturday
201597BA03611,Slight,30,Sunday
201597BA03911,Slight,30,Wednesday
201597BA05112,Slight,30,Wednesday
201597BA05312,Serious,30,Tuesday
201597BA70102,Slight,30,Thursday
201597BA70103,Fatal,30,Friday
201597BA70104,Fatal,40,Saturday
201597BA70110,Slight,30,Friday
201597BA70112,Slight,30,Sunday
201597BA70208,Serious,30,Saturday
201597BA70210,Slight,30,Friday
201597BA70211,Slight,30,Monday
201597BA70301,Slight,30,Wednesday
201597BA70306,Slight,60,Wednesday
201597BA70307,Slight,30,Monday
201597BA70309,Serious,30,Saturday
201597BA70310,Serious,30,Thursday
201597BA70405,Slight,50,Friday
201597BA70411,Serious,30,Tuesday
201597BA70412,Slight,70,Saturday
201597BA70501,Slight,30,Thursday
201597BA70505,Slight,30,Tuesday
201597BA70506,Slight,60,Friday
201597BA70507,Slight,30,Friday
201597BA70606,Slight,50,Tuesday
201597BA70607,Serious,30,Sunday
201597BA70706,Serious,30,Monday
201597BA71709,Slight,60,Saturday
201597BC00101,Slight,30,Thursday
201597BC00103,Slight,30,Sunday
201597BC00105,Serious,30,Sunday
201597BC00106,Slight,30,Monday
201597BC00107,Slight,30,Wednesday
201597BC00108,Slight,30,Monday
201597BC00111,Slight,30,Friday
201597BC00201,Slight,30,Saturday
201597BC00208,Slight,30,Sunday
201597BC00209,Slight,30,Thursday
201597BC00301,Slight,30,Sunday
201597BC00302,Slight,30,Thursday
201597BC00305,Slight,40,Tuesday
201597BC00308,Slight,30,Sunday
201597BC00401,Slight,30,Sunday
201597BC00406,Slight,60,Tuesday
201597BC00408,Slight,30,Sunday
201597BC00409,Slight,40,Monday
201597BC00412,Slight,50,Thursday
201597BC00503,Slight,30,Monday
201597BC00505,Slight,30,Sunday
201597BC00512,Slight,30,Thursday
201597BC00702,Slight,30,Tuesday
201597BC00705,Slight,30,Friday
201597BC00804,Slight,30,Wednesday
201597BC00806,Slight,30,Saturday
201597BC00807,Slight,30,Wednesday
201597BC00809,Slight,30,Wednesday
201597BC00905,Slight,30,Sunday
201597BC00912,Slight,30,Monday
201597BC01003,Slight,30,Thursday
201597BC01011,Slight,30,Wednesday
201597BC01101,Slight,30,Saturday
201597BC01106,Slight,30,Tuesday
201597BC01112,Slight,30,Tuesday
201597BC01203,Slight,30,Friday
201597BC01205,Slight,30,Tuesday
201597BC01208,Slight,30,Thursday
201597BC01304,Slight,30,Friday
201597BC01401,Slight,30,Monday
201597BC01402,Serious,30,Wednesday
201597BC01406,Slight,30,Wednesday
201597BC01408,Slight,30,Monday
201597BC01409,Slight,30,Wednesday
201597BC01503,Slight,30,Wednesday
201597BC01505,Slight,30,Sunday
201597BC01509,Serious,30,Friday
201597BC01601,Serious,30,Saturday
201597BC01604,Slight,30,Thursday
201597BC01612,Slight,30,Tuesday
201597BC01704,Slight,30,Saturday
201597BC01705,Slight,30,Sunday
201597BC01912,Slight,30,Friday
201597BC02004,Slight,30,Sunday
201597BC02012,Slight,30,Tuesday
201597BC02712,Slight,30,Wednesday
201597BC70111,Fatal,40,Wednesday
201597BC70112,Slight,50,Tuesday
201597BC70205,Fatal,30,Wednesday
201597BC70209,Slight,50,Tuesday
201597BC70212,Fatal,30,Saturday
201597BC70310,Slight,70,Friday
201597BC70312,Serious,30,Sunday
201597BC70510,Slight,30,Monday
201597BC70512,Slight,30,Monday
201597BD00103,Slight,30,Tuesday
201597BD00202,Slight,30,Tuesday
201597BD00302,Slight,30,Sunday
201597BD00303,Slight,30,Tuesday
201597BD00306,Slight,20,Tuesday
201597BD00310,Slight,40,Thursday
201597BD00311,Serious,30,Monday
201597BD00312,Slight,60,Wednesday
201597BD00402,Slight,70,Friday
201597BD00407,Slight,30,Saturday
201597BD00512,Slight,30,Thursday
201597BD00602,Slight,30,Sunday
201597BD00604,Serious,70,Tuesday
201597BD00607,Slight,30,Thursday
201597BD00610,Slight,30,Thursday
201597BD00706,Slight,30,Friday
201597BD00712,Slight,30,Wednesday
201597BD00804,Slight,30,Wednesday
201597BD00805,Serious,30,Sunday
201597BD00808,Slight,30,Wednesday
201597BD00903,Serious,30,Sunday
201597BD00910,Slight,30,Tuesday
201597BD00912,Slight,40,Saturday
201597BD01004,Slight,30,Friday
201597BD01009,Slight,30,Monday
201597BD01010,Slight,30,Sunday
201597BD01011,Slight,30,Friday
201597BD01101,Serious,30,Monday
201597BD01202,Slight,30,Tuesday
201597BD01206,Slight,30,Monday
201597BD01308,Slight,30,Monday
201597BD01311,Slight,30,Thursday
201597BD01405,Slight,30,Wednesday
201597BD01406,Slight,30,Wednesday
201597BD01407,Slight,70,Monday
201597BD01410,Slight,30,Friday
201597BD01412,Slight,30,Wednesday
201597BD01503,Slight,30,Friday
201597BD01507,Slight,30,Tuesday
201597BD01509,Slight,30,Monday
201597BD01512,Slight,30,Wednesday
201597BD01602,Slight,30,Monday
201597BD01703,Slight,40,Friday
201597BD01705,Slight,30,Friday
201597BD01711,Slight,40,Saturday
201597BD01804,Slight,30,Thursday
201597BD01805,Slight,30,Friday
201597BD01807,Slight,30,Wednesday
201597BD01810,Serious,30,Friday
201597BD01901,Slight,40,Tuesday
201597BD01902,Slight,30,Wednesday
201597BD01904,Slight,70,Friday
201597BD01910,Slight,30,Monday
201597BD02009,Slight,30,Thursday
201597BD02010,Slight,30,Wednesday
201597BD02012,Slight,30,Sunday
201597BD02101,Slight,30,Friday
201597BD02102,Serious,30,Thursday
201597BD02106,Slight,30,Saturday
201597BD02201,Slight,30,Saturday
201597BD02203,Slight,40,Friday
201597BD02206,Slight,30,Saturday
201597BD02212,Slight,30,Thursday
201597BD02301,Slight,70,Saturday
201597BD02302,Slight,30,Friday
201597BD02307,Slight,30,Friday
201597BD02407,Slight,30,Saturday
201597BD02408,Slight,60,Saturday
201597BD02409,Slight,30,Saturday
201597BD02411,Serious,30,Wednesday
201597BD02503,Slight,30,Friday
201597BD02504,Slight,60,Thursday
201597BD02505,Slight,40,Monday
201597BD02509,Slight,30,Monday
201597BD02702,Slight,30,Monday
201597BD02706,Slight,70,Tuesday
201597BD02707,Slight,30,Wednesday
201597BD02710,Serious,30,Wednesday
201597BD02802,Slight,30,Monday
201597BD02808,Slight,60,Wednesday
201597BD02905,Slight,30,Saturday
201597BD02907,Slight,60,Friday
201597BD02911,Slight,30,Tuesday
201597BD03004,Slight,60,Monday
201597BD03005,Slight,30,Wednesday
201597BD03109,Slight,30,Sunday
201597BD03204,Slight,30,Wednesday
201597BD03302,Slight,70,Friday
201597BD03311,Slight,30,Thursday
201597BD03403,Slight,30,Thursday
201597BD03405,Slight,30,Sunday
201597BD03504,Slight,30,Saturday
201597BD03505,Slight,30,Thursday
201597BD03509,Slight,40,Sunday
201597BD03511,Slight,30,Friday
201597BD03609,Slight,30,Monday
201597BD03709,Serious,30,Wednesday
201597BD03712,Slight,70,Tuesday
201597BD03802,Serious,40,Friday
201597BD04103,Slight,30,Monday
201597BD04105,Slight,30,Wednesday
201597BD04211,Slight,30,Thursday
201597BD04312,Slight,30,Monday
201597BD04403,Slight,30,Wednesday
201597BD04405,Slight,30,Friday
201597BD04503,Slight,30,Thursday
201597BD04511,Slight,40,Sunday
201597BD04603,Slight,30,Wednesday
201597BD04611,Slight,30,Monday
201597BD04711,Slight,60,Monday
201597BD20301,Slight,30,Sunday
201597BD20701,Slight,30,Friday
201597BD70102,Slight,60,Thursday
201597BD70103,Slight,50,Thursday
201597BD70107,Slight,30,Saturday
201597BD70108,Slight,60,Monday
201597BD70202,Slight,60,Thursday
201597BD70203,Slight,70,Friday
201597BD70204,Slight,70,Wednesday
201597BD70205,Slight,30,Saturday
201597BD70207,Slight,30,Tuesday
201597BD70302,Slight,70,Friday
201597BD70303,Slight,60,Tuesday
201597BD70304,Slight,70,Thursday
201597BD70401,Slight,70,Saturday
201597BD70404,Slight,70,Thursday
201597BD70411,Serious,40,Saturday
201597BD70510,Serious,30,Saturday
201597BD70604,Slight,60,Saturday
201597BD70707,Slight,30,Thursday
201597BD70710,Slight,60,Thursday
201597BD70802,Serious,30,Thursday
201597BD70910,Slight,30,Friday
201597BD71108,Slight,70,Tuesday
201597BD71208,Slight,30,Saturday
201597BD71210,Slight,30,Thursday
201597BD71408,Serious,30,Saturday
201597BD71509,Slight,50,Wednesday
201597BD71609,Slight,40,Thursday
201597BD71709,Slight,60,Friday
201597BD71809,Slight,30,Monday
201597BD71909,Slight,50,Tuesday
201597BD72009,Slight,60,Thursday
201597BD72209,Serious,40,Wednesday
201597BE00110,Slight,30,Thursday
201597BE00111,Slight,30,Sunday
201597BE00201,Slight,30,Tuesday
201597BE00202,Slight,30,Wednesday
201597BE00203,Slight,30,Tuesday
201597BE00301,Serious,30,Thursday
201597BE00304,Slight,30,Thursday
201597BE00309,Slight,30,Friday
201597BE00502,Slight,60,Tuesday
201597BE00504,Serious,30,Thursday
201597BE00509,Slight,30,Monday
201597BE00604,Slight,30,Sunday
201597BE00605,Slight,30,Friday
201597BE00607,Slight,30,Tuesday
201597BE00702,Slight,30,Friday
201597BE00705,Slight,30,Friday
201597BE00808,Slight,30,Tuesday
201597BE00902,Slight,30,Wednesday
201597BE00904,Slight,30,Friday
201597BE00905,Slight,30,Monday
201597BE00909,Slight,30,Friday
201597BE00910,Slight,30,Saturday
201597BE01002,Slight,30,Wednesday
201597BE01003,Slight,30,Tuesday
201597BE01005,Slight,30,Thursday
201597BE01011,Slight,30,Sunday
201597BE01102,Slight,30,Thursday
201597BE01104,Slight,30,Wednesday
201597BE01108,Serious,30,Wednesday
201597BE01203,Slight,30,Monday
201597BE01207,Slight,30,Friday
201597BE01208,Slight,30,Thursday
201597BE01301,Slight,30,Friday
201597BE01302,Slight,30,Monday
201597BE01310,Slight,30,Monday
201597BE01312,Slight,30,Friday
201597BE01401,Slight,20,Friday
201597BE01402,Slight,30,Thursday
201597BE01408,Slight,30,Sunday
201597BE01411,Slight,30,Monday
201597BE01501,Serious,30,Friday
201597BE01504,Slight,30,Tuesday
201597BE01506,Slight,30,Sunday
201597BE01509,Slight,30,Wednesday
201597BE01601,Slight,30,Friday
201597BE01603,Slight,30,Thursday
201597BE01605,Slight,30,Friday
201597BE01607,Slight,30,Tuesday
201597BE01609,Slight,30,Thursday
201597BE01701,Slight,30,Saturday
201597BE01702,Slight,30,Friday
201597BE01703,Slight,30,Thursday
201597BE01706,Slight,30,Tuesday
201597BE01801,Slight,30,Saturday
201597BE01803,Slight,30,Friday
201597BE01807,Slight,30,Thursday
201597BE01812,Slight,30,Saturday
201597BE01903,Slight,30,Sunday
201597BE02102,Slight,30,Thursday
201597BE02107,Slight,30,Thursday
201597BE02205,Slight,60,Friday
201597BE02207,Slight,30,Friday
201597BE02708,Slight,30,Monday
201597BE02712,Slight,30,Tuesday
201597BE02808,Slight,30,Wednesday
201597BE02811,Serious,30,Sunday
201597BE02912,Slight,30,Saturday
201597BE03011,Serious,30,Monday
201597BE70102,Slight,30,Sunday
201597BE70103,Slight,30,Saturday
201597BE70105,Serious,30,Wednesday
201597BE70106,Slight,30,Sunday
201597BE70108,Serious,30,Thursday
201597BE70112,Serious,30,Thursday
201597BE70201,Serious,30,Sunday
201597BE70205,Slight,30,Friday
201597BE70211,Slight,30,Thursday
201597BE70309,Serious,30,Wednesday
201597BE70312,Serious,30,Tuesday
201597GA00103,Slight,30,Sunday
201597GA00209,Slight,30,Wednesday
201597GA00302,Slight,40,Sunday
201597GA00306,Slight,30,Tuesday
201597GA00307,Slight,50,Tuesday
201597GA00408,Slight,30,Tuesday
201597GA00501,Slight,70,Thursday
201597GA00508,Slight,30,Wednesday
201597GA00511,Slight,30,Thursday
201597GA00601,Slight,30,Friday
201597GA00701,Serious,30,Saturday
201597GA00704,Slight,30,Tuesday
201597GA00705,Slight,30,Tuesday
201597GA00708,Slight,30,Thursday
201597GA00711,Slight,40,Thursday
201597GA00802,Slight,30,Thursday
201597GA00803,Slight,30,Friday
201597GA00804,Slight,50,Tuesday
201597GA00902,Slight,30,Sunday
201597GA00905,Slight,30,Tuesday
201597GA00907,Slight,30,Tuesday
201597GA01001,Slight,30,Tuesday
201597GA01002,Slight,30,Monday
201597GA01005,Slight,30,Tuesday
201597GA01006,Slight,30,Wednesday
201597GA01008,Slight,30,Friday
201597GA01103,Slight,30,Tuesday
201597GA01109,Slight,30,Thursday
201597GA01110,Serious,30,Thursday
201597GA01205,Slight,30,Thursday
201597GA01209,Slight,30,Friday
201597GA01211,Slight,30,Friday
201597GA01212,Slight,70,Saturday
201597GA01303,Slight,30,Thursday
201597GA01306,Slight,30,Wednesday
201597GA01503,Slight,30,Saturday
201597GA01504,Slight,30,Thursday
201597GA01509,Slight,30,Sunday
201597GA01601,Slight,30,Friday
201597GA01606,Slight,30,Sunday
201597GA01607,Serious,30,Monday
201597GA01610,Slight,30,Thursday
201597GA01707,Slight,30,Monday
201597GA01710,Slight,30,Thursday
201597GA01712,Slight,70,Thursday
201597GA01805,Serious,30,Sunday
201597GA01902,Slight,30,Tuesday
201597GA01908,Slight,30,Wednesday
201597GA01909,Slight,30,Tuesday
201597GA02008,Slight,30,Wednesday
201597GA02011,Slight,30,Friday
201597GA02201,Slight,30,Saturday
201597GA02204,Serious,30,Saturday
201597GA02207,Serious,30,Saturday
201597GA02209,Serious,30,Friday
201597GA02211,Serious,30,Friday
201597GA02302,Slight,30,Thursday
201597GA02308,Slight,30,Monday
201597GA02310,Slight,30,Monday
201597GA02410,Slight,30,Friday
201597GA02511,Slight,30,Monday
201597GA02601,Slight,30,Tuesday
201597GA02605,Slight,30,Saturday
201597GA02607,Slight,30,Friday
201597GA02608,Slight,30,Monday
201597GA02711,Slight,30,Sunday
201597GA02802,Slight,30,Sunday
201597GA02803,Slight,30,Monday
201597GA02805,Serious,30,Sunday
201597GA02812,Slight,30,Monday
201597GA02901,Slight,30,Wednesday
201597GA02910,Slight,30,Saturday
201597GA02912,Slight,30,Monday
201597GA03002,Slight,30,Tuesday
201597GA03101,Slight,30,Saturday
201597GA03106,Serious,30,Tuesday
201597GA03108,Slight,70,Thursday
201597GA03202,Slight,60,Tuesday
201597GA03205,Slight,30,Thursday
201597GA03207,Slight,70,Tuesday
201597GA03211,Slight,30,Friday
201597GA03305,Slight,30,Friday
201597GA03306,Slight,30,Tuesday
201597GA03310,Serious,30,Sunday
201597GA03401,Slight,30,Friday
201597GA03402,Slight,30,Wednesday
201597GA03501,Slight,30,Friday
201597GA03502,Slight,30,Friday
201597GA03510,Slight,30,Monday
201597GA03511,Serious,30,Friday
201597GA03606,Slight,30,Thursday
201597GA03607,Slight,30,Friday
201597GA03608,Slight,30,Saturday
201597GA03612,Slight,30,Saturday
201597GA03704,Slight,30,Monday
201597GA03705,Slight,30,Sunday
201597GA03806,Slight,30,Saturday
201597GA03812,Slight,30,Sunday
201597GA03908,Serious,30,Monday
201597GA03910,Serious,30,Wednesday
201597GA04004,Slight,30,Tuesday
201597GA04006,Slight,30,Friday
201597GA04008,Slight,30,Monday
201597GA04210,Serious,30,Friday
201597GA04212,Slight,30,Thursday
201597GA04310,Serious,30,Saturday
201597GA04410,Slight,30,Friday
201597GA70103,Slight,30,Wednesday
201597GA70104,Slight,50,Friday
201597GA70106,Slight,30,Tuesday
201597GA70107,Slight,50,Monday
201597GA70108,Slight,50,Wednesday
201597GA70109,Slight,30,Monday
201597GA70111,Fatal,30,Tuesday
201597GA70201,Slight,50,Friday
201597GA70202,Slight,50,Wednesday
201597GA70203,Slight,30,Saturday
201597GA70206,Slight,30,Sunday
201597GA70209,Slight,50,Saturday
201597GA70212,Slight,50,Wednesday
201597GA70301,Slight,50,Monday
201597GA70304,Slight,50,Friday
201597GA70305,Serious,30,Thursday
201597GA70309,Slight,50,Monday
201597GA70311,Slight,30,Friday
201597GA70403,Slight,50,Friday
201597GA70406,Serious,30,Friday
201597GA70409,Slight,30,Thursday
201597GA70501,Slight,30,Wednesday
201597GA70505,Slight,50,Friday
201597GA70507,Serious,30,Wednesday
201597GA70509,Slight,70,Sunday
201597GA70601,Slight,50,Thursday
201597GA70603,Fatal,30,Monday
201597GA70605,Slight,30,Saturday
201597GA70612,Slight,50,Monday
201597GA70710,Slight,50,Wednesday
201597GA70711,Slight,50,Tuesday
201597GA70810,Serious,30,Sunday
201597GA70811,Slight,50,Tuesday
201597GA70812,Slight,50,Saturday
201597GA70910,Slight,50,Wednesday
201597GA70912,Serious,30,Thursday
201597GA71003,Slight,30,Monday
201597GA71011,Slight,30,Saturday
201597GA71112,Slight,50,Friday
201597GA71312,Slight,30,Tuesday
201597GA71412,Slight,30,Tuesday
201597GA71911,Slight,50,Tuesday
201597GB00106,Slight,30,Monday
201597GB01611,Slight,30,Sunday
201597GB20104,Slight,30,Wednesday
201597GB20108,Slight,30,Saturday
201597GB20205,Slight,30,Sunday
201597GB20209,Slight,30,Sunday
201597GB20212,Serious,30,Thursday
201597GB20301,Slight,30,Saturday
201597GB20302,Slight,30,Friday
201597GB20308,Slight,40,Tuesday
201597GB20312,Slight,30,Thursday
201597GB20404,Slight,30,Wednesday
201597GB20408,Slight,30,Thursday
201597GB20503,Slight,30,Friday
201597GB20504,Slight,30,Wednesday
201597GB20512,Slight,30,Saturday
201597GB20602,Slight,40,Thursday
201597GB20612,Slight,40,Tuesday
201597GB20709,Slight,30,Tuesday
201597GB20710,Slight,30,Thursday
201597GB20805,Slight,30,Monday
201597GB20906,Slight,30,Wednesday
201597GB20907,Slight,30,Saturday
201597GB21001,Slight,30,Sunday
201597GB21003,Slight,40,Tuesday
201597GB21005,Slight,30,Thursday
201597GB21010,Slight,30,Tuesday
201597GB21012,Slight,40,Friday
201597GB21101,Slight,30,Saturday
201597GB21102,Slight,30,Friday
201597GB21103,Slight,70,Wednesday
201597GB21109,Slight,30,Thursday
201597GB21205,Slight,30,Monday
201597GB21207,Slight,30,Tuesday
201597GB21208,Slight,30,Sunday
201597GB21210,Slight,30,Tuesday
201597GB21305,Slight,30,Monday
201597GB21502,Slight,30,Friday
201597GB21507,Slight,30,Friday
201597GB21705,Slight,40,Thursday
201597GB21711,Slight,30,Monday
201597GB21810,Slight,30,Sunday
201597GB21812,Slight,30,Friday
201597GB21909,Slight,30,Tuesday
201597GB21911,Slight,30,Tuesday
201597GB21912,Slight,30,Wednesday
201597GB22002,Slight,40,Sunday
201597GB22005,Slight,30,Wednesday
201597GB22009,Slight,30,Thursday
201597GB22011,Slight,30,Tuesday
201597GB22105,Slight,50,Tuesday
201597GB22106,Slight,30,Thursday
201597GB22112,Slight,30,Saturday
201597GB22212,Slight,30,Sunday
201597GB22303,Slight,30,Friday
201597GB22306,Slight,30,Friday
201597GB22308,Serious,30,Wednesday
201597GB22310,Slight,40,Sunday
201597GB22411,Slight,40,Sunday
201597GB22508,Slight,30,Monday
201597GB22509,Slight,30,Monday
201597GB22512,Slight,30,Wednesday
201597GB22606,Slight,30,Saturday
201597GB22710,Slight,30,Wednesday
201597GB22802,Serious,30,Saturday
201597GB22803,Slight,30,Saturday
201597GB22809,Slight,40,Wednesday
201597GB22811,Slight,30,Friday
201597GB22902,Slight,30,Wednesday
201597GB22903,Slight,30,Sunday
201597GB22906,Slight,30,Tuesday
201597GB22910,Slight,30,Thursday
201597GB23010,Slight,30,Thursday
201597GB23203,Slight,30,Monday
201597GB23411,Slight,40,Tuesday
201597GB23810,Slight,30,Thursday
201597GB70101,Serious,30,Friday
201597GB70102,Slight,30,Saturday
201597GB70103,Serious,40,Tuesday
201597GB70107,Slight,50,Thursday
201597GB70207,Slight,50,Wednesday
201597GB70210,Slight,30,Wednesday
201597GB70211,Slight,50,Thursday
201597GB70305,Slight,40,Saturday
201597GB70311,Slight,40,Thursday
201597GB70405,Slight,70,Wednesday
201597GB70605,Slight,30,Friday
201597GC70204,Serious,30,Friday
201597GD00103,Slight,30,Sunday
201597GD00104,Slight,30,Thursday
201597GD00108,Slight,30,Saturday
201597GD00208,Slight,30,Monday
201597GD00209,Slight,30,Tuesday
201597GD00212,Slight,30,Wednesday
201597GD00302,Slight,30,Monday
201597GD00303,Serious,30,Monday
201597GD00304,Slight,30,Friday
201597GD00306,Serious,30,Tuesday
201597GD00312,Slight,30,Tuesday
201597GD00401,Slight,30,Sunday
201597GD00404,Slight,30,Thursday
201597GD00409,Slight,30,Wednesday
201597GD00502,Slight,30,Sunday
201597GD00503,Slight,30,Monday
201597GD00505,Slight,30,Monday
201597GD00602,Slight,30,Monday
201597GD00605,Slight,30,Monday
201597GD00608,Slight,30,Friday
201597GD00702,Serious,30,Tuesday
201597GD00708,Slight,30,Saturday
201597GD00710,Slight,30,Sunday
201597GD00802,Slight,30,Thursday
201597GD00805,Slight,30,Wednesday
201597GD00809,Slight,30,Tuesday
201597GD00904,Slight,30,Thursday
201597GD00905,Slight,30,Friday
201597GD00906,Slight,30,Sunday
201597GD00907,Slight,30,Saturday
201597GD00909,Slight,30,Wednesday
201597GD00912,Slight,30,Friday
201597GD01005,Slight,30,Friday
201597GD01007,Slight,30,Sunday
201597GD01105,Slight,30,Saturday
201597GD01110,Serious,30,Thursday
201597GD01111,Slight,30,Wednesday
201597GD01206,Slight,30,Tuesday
201597GD01208,Slight,30,Wednesday
201597GD01210,Serious,30,Friday
201597GD01308,Slight,30,Thursday
201597GD01310,Slight,30,Thursday
201597GD01404,Slight,30,Sunday
201597GD01406,Slight,30,Thursday
201597GD01504,Slight,30,Sunday
201597GD01506,Slight,30,Thursday
201597GD01508,Slight,30,Thursday
201597GD01509,Slight,30,Friday
201597GD01610,Slight,30,Saturday
201597GD01705,Slight,30,Tuesday
201597GD01708,Slight,30,Saturday
201597GD01802,Slight,30,Sunday
201597GD01808,Slight,30,Sunday
201597GD01811,Slight,30,Monday
201597GD01905,Slight,30,Thursday
201597GD01906,Slight,30,Friday
201597GD01910,Slight,30,Monday
201597GD02001,Slight,30,Tuesday
201597GD02101,Slight,30,Monday
201597GD02103,Slight,30,Monday
201597GD02110,Slight,20,Wednesday
201597GD02202,Slight,30,Monday
201597GD02207,Slight,30,Saturday
201597GD02209,Slight,30,Wednesday
201597GD02306,Slight,30,Friday
201597GD02310,Slight,30,Thursday
201597GD02404,Slight,30,Friday
201597GD02502,Serious,30,Wednesday
201597GD02504,Slight,30,Saturday
201597GD02601,Slight,30,Tuesday
201597GD02605,Slight,30,Monday
201597GD02607,Slight,30,Friday
201597GD02612,Serious,30,Saturday
201597GD02704,Slight,30,Tuesday
201597GD02705,Slight,30,Thursday
201597GD02712,Slight,30,Tuesday
201597GD02807,Serious,30,Friday
201597GD02811,Slight,30,Friday
201597GD02905,Slight,30,Friday
201597GD02907,Slight,30,Saturday
201597GD02909,Slight,30,Saturday
201597GD03002,Slight,30,Saturday
201597GD03103,Slight,30,Monday
201597GD03108,Slight,30,Wednesday
201597GD03109,Slight,30,Sunday
201597GD03203,Slight,30,Friday
201597GD03207,Slight,30,Sunday
201597GD03210,Slight,30,Wednesday
201597GD03306,Slight,30,Monday
201597GD03404,Slight,30,Saturday
201597GD03405,Slight,30,Sunday
201597GD03406,Slight,30,Tuesday
